product_name,category,features,target_audience,tone,keywords
Wireless Bluetooth Headphones,electronics,"Noise cancellation,30-hour battery life,Premium sound quality,Comfortable fit",Young professionals,professional,"wireless,bluetooth,noise cancelling,headphones"
Organic Green Tea Set,food,"Premium loose leaf,Antioxidant rich,Hand-picked leaves,Eco-friendly packaging",Health enthusiasts,luxury,"organic,green tea,antioxidants,wellness"
Yoga Mat Premium,sports,"Non-slip surface,6mm thickness,Eco-friendly material,Carrying strap included",Fitness enthusiasts,casual,"yoga,exercise,fitness,eco-friendly"
Smart Watch Pro,electronics,"Heart rate monitor,GPS tracking,Water resistant,7-day battery",Athletes,technical,"smartwatch,fitness tracker,GPS,heart rate"
Leather Laptop Bag,fashion,"Genuine leather,Multiple compartments,15-inch laptop compatible,Professional design",Business professionals,professional,"leather,laptop bag,business,professional"
Kids Educational Toy Set,toys,"STEM learning,Age 3-8 years,Safe materials,Interactive play",Parents,playful,"educational,toys,STEM,learning,kids"
Aromatherapy Diffuser,home,"Ultrasonic technology,7 LED colors,Auto shut-off,Large capacity",Home decorators,casual,"aromatherapy,diffuser,essential oils,relaxation"
Running Shoes Ultra,sports,"Breathable mesh,Cushioned sole,Lightweight design,All-terrain grip",Runners,professional,"running shoes,athletic,performance,comfort"
Facial Serum Anti-Aging,beauty,"Vitamin C,Hyaluronic acid,Organic ingredients,Dermatologist tested",Women 30+,luxury,"skincare,anti-aging,serum,vitamin C"
Portable Blender,home,"USB rechargeable,BPA-free,Easy cleaning,Compact design",Busy professionals,casual,"blender,portable,smoothie,healthy"
